Food Name,Protein (g),Category,Protein_Cluster,Protein_Level
"Proximates, Beef, Porterhouse Steak, lean only, raw, animal 28, select",22.4,Beef Products,0,Medium
"Proximates, Beef, Porterhouse Steak, lean only, raw, animal 29, select",22.3,Beef Products,0,Medium
"Proximates, Beef, Porterhouse Steak, lean only, raw, animal 35, select",22.0,Beef Products,0,Medium
"Proximates, Beef, Porterhouse Steak, lean only, raw, animal 36, select",21.0,Beef Products,0,Medium
"Beef, short loin, porterhouse steak, separable lean only, trimmed to 1/8"" fat, select, raw",22.7,Beef Products,0,Medium
"Bread, whole-wheat, commercially prepared",12.3,Baked Products,1,Low
"Beans, Dry, Dark Red Kidney, 11F-8074 (0% moisture)",27.0,Legumes and Legume Products,0,Medium
"Beans, Dry, Dark Red Kidney, 11F-8130 (0% moisture)",25.6,Legumes and Legume Products,0,Medium
"Beans, Dry, Dark Red Kidney, 11F-8040 (0% moisture)",25.4,Legumes and Legume Products,0,Medium
"Beans, Dry, Dark Red Kidney, 11F-8132 (0% moisture)",25.5,Legumes and Legume Products,0,Medium
"Beans, Dry, Dark Red Kidney (0% moisture)",25.9,Legumes and Legume Products,0,Medium
"Beans, Dry, Pink, 11F-8082 (0% moisture)",23.2,Legumes and Legume Products,0,Medium
"Beans, Dry, Pink, 11F-8190 (0% moisture)",24.9,Legumes and Legume Products,0,Medium
"Beans, Dry, Pink, 11F-8034 (0% moisture)",24.3,Legumes and Legume Products,0,Medium
"Beans, Dry, Pink, 11F-8188 (0% moisture)",25.1,Legumes and Legume Products,0,Medium
"Beans, Dry, Pink, 11F-8197 (0% moisture)",24.4,Legumes and Legume Products,0,Medium
"Beans, Dry, Pink, 11F-8197 (0% moisture)",24.4,Legumes and Legume Products,0,Medium
"Beans, Dry, Pink, 11F-8084 (0% moisture)",25.3,Legumes and Legume Products,0,Medium
"Beans, Dry, Pink, 11F-8193 (0% moisture)",24.5,Legumes and Legume Products,0,Medium
"Beans, Dry, Pink, 11F-8058 (0% moisture)",24.2,Legumes and Legume Products,0,Medium
"Beans, Dry, Pink, 11F-8149 (0% moisture)",25.0,Legumes and Legume Products,0,Medium
"Beans, Dry, Pink, 11F-8059 (0% moisture)",23.2,Legumes and Legume Products,0,Medium
"Beans, Dry, Pink, 11F-8124 (0% moisture)",23.6,Legumes and Legume Products,0,Medium
"Beans, Dry, Pink, 11F-8041 (0% moisture)",23.8,Legumes and Legume Products,0,Medium
"Beans, Dry, Pink, 11F-8156 (0% moisture)",25.2,Legumes and Legume Products,0,Medium
"Beans, Dry, Pink, 11F-8019 (0% moisture)",24.2,Legumes and Legume Products,0,Medium
"Beans, Dry, Pink, 11F-8136 (0% moisture)",23.8,Legumes and Legume Products,0,Medium
"Beans, Dry, Pink, 11F-8018 (0% moisture)",24.8,Legumes and Legume Products,0,Medium
"Beans, Dry, Pink, 11F-8187 (0% moisture)",23.9,Legumes and Legume Products,0,Medium
"Beans, Dry, Pink, 11F-8105 (0% moisture)",23.9,Legumes and Legume Products,0,Medium
"Beans, Dry, Pink, 11F-8105 (0% moisture)",23.9,Legumes and Legume Products,0,Medium
"Beans, Dry, Pink, 483 (0% moisture)",25.0,Legumes and Legume Products,0,Medium
"Beans, Dry, Pink, 641 (0% moisture)",22.0,Legumes and Legume Products,0,Medium
"Beans, Dry, Pink, 481 (0% moisture)",25.7,Legumes and Legume Products,0,Medium
"Beans, Dry, Pink, 817 (0% moisture)",25.4,Legumes and Legume Products,0,Medium
"Beans, Dry, Pink, 399 (0% moisture)",20.6,Legumes and Legume Products,0,Medium
"Beans, Dry, Pink, 779 (0% moisture)",22.1,Legumes and Legume Products,0,Medium
"Beans, Dry, Pink, 430 (0% moisture)",24.5,Legumes and Legume Products,0,Medium
"Beans, Dry, Pink, 699 (0% moisture)",24.3,Legumes and Legume Products,0,Medium
"Beans, Dry, Pink, 478 (0% moisture)",24.5,Legumes and Legume Products,0,Medium
"Beans, Dry, Pink, 803 (0% moisture)",24.3,Legumes and Legume Products,0,Medium
